ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_kumulativ,differenz_zum_vortag,impfungen_pro_1_000_einwohner,indikation_nach_alter,berufliche_indikation,medizinische_indikation,pflegeheim_bewohner_in,notes,rs
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Schleswig-Holstein,SH,5581,1747,NA,1385,3361,1175,2241,NA,NA
2020-12-31T07:30:00Z,2020-12-31T12:20:43Z,Thüringen,TH,810,138,NA,232,297,NA,413,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Baden-Württemberg,BW,17086,4295,NA,7578,5423,1037,2693,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Bayern,BY,37955,9749,NA,7840,18450,718,14265,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Berlin,BE,11114,2030,NA,7029,2952,105,8161,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Brandenburg,BB,3219,183,NA,204,2995,20,224,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Bremen,HB,1741,50,NA,821,408,6,237,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Hamburg,HH,2759,719,NA,1129,1420,NA,1341,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Hessen,HE,21373,5699,NA,6073,12345,821,8513,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Mecklenburg-Vorpommern,MV,11494,393,NA,178,6583,8,4804,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Niedersachsen,NI,3566,861,NA,567,1981,654,2044,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Nordrhein-Westfalen,NW,24924,3033,NA,NA,8963,NA,16334,(für den 31.12. wurden keine Daten aus der KV-Nordrhein übermittelt),NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Rheinland-Pfalz,RP,5112,865,NA,NA,2329,NA,2783,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Saarland,SL,2716,597,NA,2065,248,NA,1080,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Sachsen,SN,3290,637,NA,226,2754,1,535,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Sachsen-Anhalt,ST,11146,1046,NA,3506,5582,458,5346,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Schleswig-Holstein,SH,7270,1689,NA,1766,4523,1527,2817,NA,NA
2021-01-01T11:30:00Z,2021-01-01T13:31:06Z,Thüringen,TH,810,0,NA,232,297,0,413,NA,NA
2021-01-02T07:00:00Z,2021-01-02T14:39:57Z,Baden-Württemberg,BW,20045,2958,NA,9087,6185,1189,3403,NA,NA
