ts_datenstand,ts_download,bundesland,bundesland_iso,impfungen_neu,indikation_nach_alter_neu,medizinische_indikation_neu,berufliche_indikation_neu,pflegeheim_bewohner_in_neu,notes
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Bremen,HB,700,118,9,305,362,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Hamburg,HH,616,88,0,509,107,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Hessen,HE,4390,942,307,2646,1606,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Mecklenburg-Vorpommern,MV,1773,64,21,1155,1164,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Niedersachsen,NI,3271,799,880,1376,2073,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Nordrhein-Westfalen,NW,4435,0,0,4390,4461,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Rheinland-Pfalz,RP,1609,0,0,1919,724,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Saarland,SL,687,533,0,89,243,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Sachsen,SN,2874,175,0,2589,285,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Sachsen-Anhalt,ST,2262,576,87,1077,1102,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Schleswig-Holstein,SH,3421,626,391,1294,1104,NA
2021-01-05T11:00:00Z,2021-01-05T12:25:59Z,Thüringen,TH,493,214,1,1679,0,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Baden-Württemberg,BW,5621,3361,307,1508,834,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Bayern,BY,4873,769,19,2653,1682,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Berlin,BE,2566,1879,0,865,1672,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Brandenburg,BB,2070,60,0,2010,0,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Bremen,HB,518,40,11,251,241,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Hamburg,HH,1145,292,44,797,62,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Hessen,HE,3503,1064,165,1912,1364,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Mecklenburg-Vorpommern,MV,2570,214,-2,2286,1860,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Niedersachsen,NI,6499,1550,1197,3178,3689,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Nordrhein-Westfalen,NW,4160,NA,NA,3102,3431,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Rheinland-Pfalz,RP,2445,NA,NA,1756,689,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Saarland,SL,797,624,NA,88,333,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Sachsen,SN,3027,158,0,2591,436,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Sachsen-Anhalt,ST,1495,435,89,673,784,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Schleswig-Holstein,SH,3444,665,216,1848,1049,NA
2021-01-06T10:00:00Z,2021-01-06T11:25:55Z,Thüringen,TH,500,22,6,880,87,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Baden-Württemberg,BW,4971,3123,280,1325,864,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Bayern,BY,1600,309,22,778,726,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Berlin,BE,2204,1550,0,754,1025,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Brandenburg,BB,2778,149,1,2627,209,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Bremen,HB,630,36,2,335,290,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Hamburg,HH,1178,419,42,66,149,NA
2021-01-07T10:00:00Z,2021-01-07T11:26:32Z,Hessen,HE,2824,523,196,1968,855,NA
